reg_no,firm_id
881331243,865
813482395,865
823856729,865
487586786,865
913096723,828
891202194,828
843135039,828
882199730,828
911645695,828
908023641,828
910401058,828
898442256,828
889704417,828
815242508,828
908189244,828
899661268,828
840539456,828
907462865,828
899965842,828
823752514,828
914247671,828
394770267,828
808503049,828
844656942,828
890289697,828
497873661,828
831126198,828
913986261,828
914848239,828
918727660,828
918121666,828
841084999,828
917775900,828
840531156,828
840432066,828
382515799,828
434104311,828
433961877,828
477616072,828
481015691,828
488108564,828
499605095,828
435115068,828
478702681,828
412444994,828
442605911,829
380456012,829
527740914,829
807743166,829
752036616,829
431338730,829
811217744,829
822624268,829
829041680,829
519154991,829
833195852,829
840416606,829
837682640,829
798134011,829
844799536,829
842294555,829
843314527,829
844226241,829
849400718,829
852436542,840
524190725,840
851545913,840
878437664,840
882561137,840
527864540,840
880783493,840
879891091,840
889514386,840
890301476,840
894274505,840
899750251,840
903689198,840
907750178,840
799791942,840
818621898,840
350081121,840
903159747,840
911435659,840
823996855,840
810695551,840
523895886,841
844277657,841
879939825,841
433570371,841
796880367,841
823957667,841
529185308,841
891846776,841
411757081,841
529407173,841
408306603,841
822663316,841
803717834,841
844190652,841
901624379,841
907752562,841
379011372,841
833262363,841
449118900,841
901435495,841
753612225,841
824081079,841
853027167,841
522295112,841
842307431,841
410104202,841
892347170,841
834069825,841
911162584,841
905377628,841
484785977,841
831204219,841
508243680,841
842898397,841
897736641,841
828478727,841
793589714,841
853468981,841
852312818,841
382997914,841
892337247,841
848790937,841
839653441,841
528972474,841
324076850,841
807488960,841
909837296,841
444115299,841
531557924,841
819261504,841
532606308,841
878200856,841
509409330,841
341150589,841
823335120,841
535200273,841
814388047,841
912305216,841
882605991,841
341900223,841
788953453,842
802228163,842
812468890,842
423151836,842
827906645,842
525238655,842
894308477,842
901281022,842
912496866,842
378416119,842
892847054,842
810739227,842
912287026,842
317852705,842
513340596,842
912882610,842
878442565,842
484698469,842
508214830,842
512164195,842
822959375,842
511428567,842
495104416,842
798683694,842
499621258,842
440628774,842
880569819,842
849942982,842
493152540,842
449263128,842
834440760,842
508402294,842
531912475,835
791701014,843
912675196,843
888578002,843
851503268,843
853329894,843
842840126,843
504478918,843
480453430,843
912573490,843
489275529,843
753104975,843
891595340,843
849767926,843
905335402,843
508006160,843
912319472,843
810991810,843
799454228,843
443799036,843
841750383,843
538029703,843
400712949,843
843969585,843
850202946,843
913241188,843
898042437,843
878173392,843
852613751,843
814195590,843
891850893,843
904700846,843
832640080,843
825239130,843
821934692,843
801687229,843
891117442,843
832715197,843
500861679,843
528763311,843
848324638,843
324094697,843
904782521,843
908465354,843
